2021-02-14 21:25:09,630 CARME Slurm ID: 25533
2021-02-14 21:25:09,657 gpu device = 0
2021-02-14 21:25:09,657 args = Namespace(arch='RUN2_seed', auxiliary=True, auxiliary_weight=0.4, batch_size=64, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.025, model_path='saved_models', momentum=0.9, report_freq=50, save='darts-original-retrain-20210214-212509', seed=0, weight_decay=0.0003)
2021-02-14 21:25:14,949 param size = 2.089970MB
2021-02-14 21:27:29,959 (JOBID 25533) epoch 1 lr 2.500000e-02: train_acc 41.806000, valid_acc 56.649998
2021-02-14 21:30:04,399 (JOBID 25533) epoch 2 lr 2.499966e-02: train_acc 59.618000, valid_acc 56.180000
2021-02-14 21:32:38,604 (JOBID 25533) epoch 3 lr 2.499880e-02: train_acc 66.638000, valid_acc 72.869995
2021-02-14 21:34:51,983 (JOBID 25533) epoch 4 lr 2.499760e-02: train_acc 71.391998, valid_acc 72.459999
2021-02-14 21:37:12,403 (JOBID 25533) epoch 5 lr 2.499606e-02: train_acc 74.339996, valid_acc 79.009995
2021-02-14 21:39:35,174 (JOBID 25533) epoch 6 lr 2.499417e-02: train_acc 76.043999, valid_acc 80.570000
2021-02-14 21:42:04,960 (JOBID 25533) epoch 7 lr 2.499195e-02: train_acc 77.680000, valid_acc 81.059998
2021-02-14 21:44:29,246 (JOBID 25533) epoch 8 lr 2.498938e-02: train_acc 78.837997, valid_acc 83.430000
2021-02-14 21:46:48,479 (JOBID 25533) epoch 9 lr 2.498647e-02: train_acc 79.995995, valid_acc 80.959999
2021-02-14 21:49:02,890 (JOBID 25533) epoch 10 lr 2.498321e-02: train_acc 80.407997, valid_acc 83.759995
2021-02-14 21:53:00,291 (JOBID 25533) epoch 11 lr 2.497962e-02: train_acc 81.127998, valid_acc 82.239998
2021-02-14 21:55:17,705 (JOBID 25533) epoch 12 lr 2.497568e-02: train_acc 81.501999, valid_acc 86.430000
2021-02-14 21:57:50,299 (JOBID 25533) epoch 13 lr 2.497140e-02: train_acc 82.306000, valid_acc 85.180000
2021-02-14 22:00:24,406 (JOBID 25533) epoch 14 lr 2.496677e-02: train_acc 82.729996, valid_acc 83.680000
