2021-02-02 14:50:02,764 CARME Slurm ID: 25141
2021-02-02 14:50:02,765 gpu device = 0
2021-02-02 14:50:02,766 args = Namespace(arch='DARTS', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.001, learning_rate_min=0.0001, momentum=0.9, plot_freq=1, report_freq=0, save='darts-pruning/darts-pruning-lr_0.001_edec_0_rho_0.9_rdec_0_mu_0.0001_time_20210202-145002', seed=0, use_lr_scheduler=True, weight_decay=0.0001)
2021-02-02 14:50:08,351 param size = 3.349394MB
2021-02-02 14:57:29,831 (JOBID 25141) epoch 1 lr 1.000000e-03: train_acc 33.313999, valid_acc 50.529999
2021-02-02 15:05:00,844 (JOBID 25141) epoch 2 lr 9.999877e-04: train_acc 53.702000, valid_acc 60.609997
2021-02-02 15:12:30,718 (JOBID 25141) epoch 3 lr 9.999568e-04: train_acc 62.917999, valid_acc 60.579998
2021-02-02 15:19:51,542 (JOBID 25141) epoch 4 lr 9.999136e-04: train_acc 67.879997, valid_acc 67.809998
2021-02-02 15:27:05,361 (JOBID 25141) epoch 5 lr 9.998581e-04: train_acc 72.124001, valid_acc 73.239998
2021-02-02 15:34:28,606 (JOBID 25141) epoch 6 lr 9.997903e-04: train_acc 74.645996, valid_acc 75.360001
2021-02-02 15:42:18,630 (JOBID 25141) epoch 7 lr 9.997101e-04: train_acc 76.402000, valid_acc 80.809998
2021-02-02 15:50:47,859 (JOBID 25141) epoch 8 lr 9.996176e-04: train_acc 78.043999, valid_acc 77.989998
2021-02-02 15:58:05,016 (JOBID 25141) epoch 9 lr 9.995128e-04: train_acc 79.442001, valid_acc 78.369995
2021-02-02 16:05:24,026 (JOBID 25141) epoch 10 lr 9.993956e-04: train_acc 80.551994, valid_acc 82.400002
2021-02-02 16:12:47,881 (JOBID 25141) epoch 11 lr 9.992662e-04: train_acc 81.605995, valid_acc 82.180000
2021-02-02 16:20:40,842 (JOBID 25141) epoch 12 lr 9.991244e-04: train_acc 82.405998, valid_acc 85.909996
2021-02-02 16:28:04,259 (JOBID 25141) epoch 13 lr 9.989703e-04: train_acc 82.953995, valid_acc 84.329994
2021-02-02 16:35:28,713 (JOBID 25141) epoch 14 lr 9.988038e-04: train_acc 83.764000, valid_acc 80.619995
2021-02-02 16:42:58,546 (JOBID 25141) epoch 15 lr 9.986251e-04: train_acc 84.292000, valid_acc 84.759995
2021-02-02 16:50:33,431 (JOBID 25141) epoch 16 lr 9.984341e-04: train_acc 84.853996, valid_acc 85.360001
2021-02-02 16:58:00,510 (JOBID 25141) epoch 17 lr 9.982308e-04: train_acc 85.122002, valid_acc 87.320000
2021-02-02 17:05:20,845 (JOBID 25141) epoch 18 lr 9.980152e-04: train_acc 85.598000, valid_acc 86.869995
2021-02-02 17:13:30,952 (JOBID 25141) epoch 19 lr 9.977873e-04: train_acc 85.972000, valid_acc 86.360001
2021-02-02 17:20:58,896 (JOBID 25141) epoch 20 lr 9.975472e-04: train_acc 86.743996, valid_acc 88.180000
