2021-02-02 14:51:15,546 CARME Slurm ID: 25142
2021-02-02 14:51:15,547 gpu device = 0
2021-02-02 14:51:15,548 args = Namespace(arch='DARTS', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.001, learning_rate_min=0.0001, momentum=0.9, plot_freq=1, report_freq=0, save='darts-pruning/darts-pruning-lr_0.001_edec_0_rho_0.9_rdec_0_mu_0.0005_time_20210202-145112', seed=0, use_lr_scheduler=True, weight_decay=0.0005)
2021-02-02 14:51:20,727 param size = 3.349394MB
2021-02-02 14:58:52,908 (JOBID 25142) epoch 1 lr 1.000000e-03: train_acc 33.486000, valid_acc 45.209999
2021-02-02 15:06:45,050 (JOBID 25142) epoch 2 lr 9.999877e-04: train_acc 52.747997, valid_acc 57.899998
2021-02-02 15:14:36,168 (JOBID 25142) epoch 3 lr 9.999568e-04: train_acc 62.487999, valid_acc 63.250000
2021-02-02 15:22:18,157 (JOBID 25142) epoch 4 lr 9.999136e-04: train_acc 68.442001, valid_acc 65.169998
2021-02-02 15:29:44,054 (JOBID 25142) epoch 5 lr 9.998581e-04: train_acc 72.353996, valid_acc 75.259995
2021-02-02 15:37:36,394 (JOBID 25142) epoch 6 lr 9.997903e-04: train_acc 75.141998, valid_acc 77.419998
2021-02-02 15:45:26,772 (JOBID 25142) epoch 7 lr 9.997101e-04: train_acc 76.706001, valid_acc 81.349998
2021-02-02 15:53:00,408 (JOBID 25142) epoch 8 lr 9.996176e-04: train_acc 78.178001, valid_acc 79.639999
2021-02-02 16:00:52,991 (JOBID 25142) epoch 9 lr 9.995128e-04: train_acc 79.617996, valid_acc 79.549995
2021-02-02 16:08:59,082 (JOBID 25142) epoch 10 lr 9.993956e-04: train_acc 80.577995, valid_acc 83.829994
2021-02-02 16:17:40,739 (JOBID 25142) epoch 11 lr 9.992662e-04: train_acc 81.419998, valid_acc 83.139999
2021-02-02 16:25:36,716 (JOBID 25142) epoch 12 lr 9.991244e-04: train_acc 82.414001, valid_acc 84.629997
2021-02-02 16:33:13,763 (JOBID 25142) epoch 13 lr 9.989703e-04: train_acc 83.014000, valid_acc 82.409996
2021-02-02 16:40:47,200 (JOBID 25142) epoch 14 lr 9.988038e-04: train_acc 83.409996, valid_acc 83.000000
