2021-02-16 21:38:38,604 CARME Slurm ID: 25646
2021-02-16 21:38:38,605 gpu device = 0
2021-02-16 21:38:38,606 args = Namespace(arch='DARTS', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.025, model_path='saved_models', momentum=0.9, report_freq=50, save='darts-original-retrain-predefined-20210216-213838', seed=1815, weight_decay=0.0003)
2021-02-16 21:38:41,099 param size = 3.349394MB
2021-02-16 21:41:45,734 (JOBID 25646) epoch 1 lr 2.500000e-02: train_acc 33.430000, valid_acc 51.009998
2021-02-16 21:44:44,555 (JOBID 25646) epoch 2 lr 2.499966e-02: train_acc 55.377998, valid_acc 59.320000
2021-02-16 21:47:41,321 (JOBID 25646) epoch 3 lr 2.499880e-02: train_acc 65.416000, valid_acc 70.659996
2021-02-16 21:50:39,619 (JOBID 25646) epoch 4 lr 2.499760e-02: train_acc 71.425995, valid_acc 75.430000
2021-02-16 21:53:46,907 (JOBID 25646) epoch 5 lr 2.499606e-02: train_acc 74.795998, valid_acc 78.489998
2021-02-16 21:56:47,137 (JOBID 25646) epoch 6 lr 2.499417e-02: train_acc 77.227997, valid_acc 82.479996
2021-02-16 21:59:50,359 (JOBID 25646) epoch 7 lr 2.499195e-02: train_acc 79.094002, valid_acc 79.329994
2021-02-16 22:02:48,702 (JOBID 25646) epoch 8 lr 2.498938e-02: train_acc 80.596001, valid_acc 83.709999
2021-02-16 22:05:47,954 (JOBID 25646) epoch 9 lr 2.498647e-02: train_acc 81.659996, valid_acc 84.229996
2021-02-16 22:08:49,139 (JOBID 25646) epoch 10 lr 2.498321e-02: train_acc 82.431999, valid_acc 84.139999
2021-02-16 22:14:45,640 (JOBID 25646) epoch 11 lr 2.497962e-02: train_acc 83.054001, valid_acc 84.989998
2021-02-16 22:17:56,629 (JOBID 25646) epoch 12 lr 2.497568e-02: train_acc 83.821999, valid_acc 86.269997
2021-02-16 22:21:11,735 (JOBID 25646) epoch 13 lr 2.497140e-02: train_acc 84.389999, valid_acc 85.379997
2021-02-16 22:24:09,356 (JOBID 25646) epoch 14 lr 2.496677e-02: train_acc 84.903999, valid_acc 86.639999
2021-02-16 22:27:08,114 (JOBID 25646) epoch 15 lr 2.496181e-02: train_acc 85.037994, valid_acc 87.939995
2021-02-16 22:30:07,267 (JOBID 25646) epoch 16 lr 2.495650e-02: train_acc 85.664001, valid_acc 87.489998
2021-02-16 22:33:05,463 (JOBID 25646) epoch 17 lr 2.495086e-02: train_acc 85.797997, valid_acc 86.259995
2021-02-16 22:36:13,644 (JOBID 25646) epoch 18 lr 2.494487e-02: train_acc 86.139999, valid_acc 89.040001
2021-02-16 22:39:22,537 (JOBID 25646) epoch 19 lr 2.493854e-02: train_acc 86.797997, valid_acc 86.709999
2021-02-16 22:42:24,532 (JOBID 25646) epoch 20 lr 2.493187e-02: train_acc 86.414001, valid_acc 86.820000
2021-02-16 22:48:00,255 (JOBID 25646) epoch 21 lr 2.492485e-02: train_acc 87.229996, valid_acc 87.430000
2021-02-16 22:51:07,193 (JOBID 25646) epoch 22 lr 2.491750e-02: train_acc 87.304001, valid_acc 89.639999
2021-02-16 22:54:07,452 (JOBID 25646) epoch 23 lr 2.490981e-02: train_acc 87.647995, valid_acc 88.889999
2021-02-16 22:57:14,995 (JOBID 25646) epoch 24 lr 2.490178e-02: train_acc 87.612000, valid_acc 86.529999
2021-02-16 23:00:13,471 (JOBID 25646) epoch 25 lr 2.489340e-02: train_acc 87.725998, valid_acc 90.189995
2021-02-16 23:03:17,868 (JOBID 25646) epoch 26 lr 2.488469e-02: train_acc 88.099998, valid_acc 89.379997
2021-02-16 23:06:26,850 (JOBID 25646) epoch 27 lr 2.487564e-02: train_acc 87.967995, valid_acc 90.239998
2021-02-16 23:09:33,830 (JOBID 25646) epoch 28 lr 2.486625e-02: train_acc 88.056000, valid_acc 89.949997
2021-02-16 23:12:36,360 (JOBID 25646) epoch 29 lr 2.485652e-02: train_acc 88.332001, valid_acc 89.729996
2021-02-16 23:15:41,972 (JOBID 25646) epoch 30 lr 2.484645e-02: train_acc 88.486000, valid_acc 89.220001
2021-02-16 23:21:20,765 (JOBID 25646) epoch 31 lr 2.483604e-02: train_acc 88.612000, valid_acc 91.699997
2021-02-16 23:24:24,818 (JOBID 25646) epoch 32 lr 2.482529e-02: train_acc 88.584000, valid_acc 87.699997
2021-02-16 23:27:29,689 (JOBID 25646) epoch 33 lr 2.481421e-02: train_acc 88.683998, valid_acc 90.269997
2021-02-16 23:30:30,658 (JOBID 25646) epoch 34 lr 2.480279e-02: train_acc 88.862000, valid_acc 90.220001
2021-02-16 23:33:47,302 (JOBID 25646) epoch 35 lr 2.479103e-02: train_acc 88.759995, valid_acc 90.290001
2021-02-16 23:36:46,585 (JOBID 25646) epoch 36 lr 2.477893e-02: train_acc 89.110001, valid_acc 89.879997
2021-02-16 23:39:51,622 (JOBID 25646) epoch 37 lr 2.476650e-02: train_acc 88.939995, valid_acc 90.750000
2021-02-16 23:43:11,964 (JOBID 25646) epoch 38 lr 2.475373e-02: train_acc 89.157997, valid_acc 90.949997
2021-02-16 23:46:21,040 (JOBID 25646) epoch 39 lr 2.474063e-02: train_acc 89.068001, valid_acc 88.739998
2021-02-16 23:49:25,362 (JOBID 25646) epoch 40 lr 2.472719e-02: train_acc 88.991997, valid_acc 90.180000
2021-02-16 23:55:05,390 (JOBID 25646) epoch 41 lr 2.471341e-02: train_acc 89.267998, valid_acc 90.070000
2021-02-16 23:58:03,540 (JOBID 25646) epoch 42 lr 2.469930e-02: train_acc 89.325996, valid_acc 89.570000
2021-02-17 00:01:08,514 (JOBID 25646) epoch 43 lr 2.468486e-02: train_acc 89.215996, valid_acc 90.430000
2021-02-17 00:04:14,270 (JOBID 25646) epoch 44 lr 2.467008e-02: train_acc 89.159996, valid_acc 87.849998
2021-02-17 00:07:16,165 (JOBID 25646) epoch 45 lr 2.465497e-02: train_acc 89.519997, valid_acc 88.709999
2021-02-17 00:10:20,900 (JOBID 25646) epoch 46 lr 2.463952e-02: train_acc 89.231995, valid_acc 89.959999
2021-02-17 00:13:33,230 (JOBID 25646) epoch 47 lr 2.462374e-02: train_acc 89.547997, valid_acc 91.430000
2021-02-17 00:16:31,611 (JOBID 25646) epoch 48 lr 2.460763e-02: train_acc 89.225998, valid_acc 90.209999
2021-02-17 00:19:34,762 (JOBID 25646) epoch 49 lr 2.459119e-02: train_acc 89.470001, valid_acc 89.110001
2021-02-17 00:22:35,829 (JOBID 25646) epoch 50 lr 2.457442e-02: train_acc 89.435997, valid_acc 90.220001
2021-02-17 00:28:12,904 (JOBID 25646) epoch 51 lr 2.455731e-02: train_acc 89.542000, valid_acc 91.070000
2021-02-17 00:31:14,638 (JOBID 25646) epoch 52 lr 2.453987e-02: train_acc 89.465996, valid_acc 89.829994
2021-02-17 00:34:27,432 (JOBID 25646) epoch 53 lr 2.452211e-02: train_acc 89.533997, valid_acc 90.989998
2021-02-17 00:37:35,998 (JOBID 25646) epoch 54 lr 2.450401e-02: train_acc 89.797997, valid_acc 90.720001
2021-02-17 00:40:46,122 (JOBID 25646) epoch 55 lr 2.448559e-02: train_acc 89.851997, valid_acc 91.970001
2021-02-17 00:43:44,926 (JOBID 25646) epoch 56 lr 2.446684e-02: train_acc 89.694000, valid_acc 89.290001
2021-02-17 00:46:45,959 (JOBID 25646) epoch 57 lr 2.444776e-02: train_acc 89.781998, valid_acc 90.189995
2021-02-17 00:49:43,397 (JOBID 25646) epoch 58 lr 2.442835e-02: train_acc 89.787994, valid_acc 91.659996
2021-02-17 00:52:52,254 (JOBID 25646) epoch 59 lr 2.440861e-02: train_acc 89.907997, valid_acc 90.309998
2021-02-17 00:56:09,590 (JOBID 25646) epoch 60 lr 2.438855e-02: train_acc 89.846001, valid_acc 90.509995
2021-02-17 01:01:53,900 (JOBID 25646) epoch 61 lr 2.436816e-02: train_acc 89.647995, valid_acc 91.239998
2021-02-17 01:04:51,578 (JOBID 25646) epoch 62 lr 2.434745e-02: train_acc 90.009995, valid_acc 91.729996
