2021-02-19 12:25:33,892 CARME Slurm ID: 25736
2021-02-19 12:25:33,893 gpu device = 0
2021-02-19 12:25:33,893 args = Namespace(arch='RUN1', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.025, model_path='saved_models', momentum=0.9, report_freq=50, save='darts-original-retrain-predefined-20210219-122533', seed=3924, weight_decay=0.0003)
2021-02-19 12:25:39,050 param size = 1.782836MB
2021-02-19 12:27:16,611 (JOBID 25736) epoch 1 lr 2.500000e-02: train_acc 42.647999, valid_acc 51.959999
2021-02-19 12:28:55,427 (JOBID 25736) epoch 2 lr 2.499966e-02: train_acc 59.601997, valid_acc 57.309998
2021-02-19 12:30:34,068 (JOBID 25736) epoch 3 lr 2.499880e-02: train_acc 66.568001, valid_acc 67.479996
2021-02-19 12:32:11,817 (JOBID 25736) epoch 4 lr 2.499760e-02: train_acc 71.167999, valid_acc 73.729996
2021-02-19 12:33:51,027 (JOBID 25736) epoch 5 lr 2.499606e-02: train_acc 74.472000, valid_acc 78.419998
2021-02-19 12:35:29,377 (JOBID 25736) epoch 6 lr 2.499417e-02: train_acc 76.447998, valid_acc 78.049995
2021-02-19 12:37:07,244 (JOBID 25736) epoch 7 lr 2.499195e-02: train_acc 78.136002, valid_acc 77.540001
2021-02-19 12:38:45,037 (JOBID 25736) epoch 8 lr 2.498938e-02: train_acc 79.337997, valid_acc 81.059998
2021-02-19 12:40:22,385 (JOBID 25736) epoch 9 lr 2.498647e-02: train_acc 79.956001, valid_acc 82.079994
2021-02-19 12:41:59,548 (JOBID 25736) epoch 10 lr 2.498321e-02: train_acc 81.015999, valid_acc 82.259995
2021-02-19 12:45:00,266 (JOBID 25736) epoch 11 lr 2.497962e-02: train_acc 81.657997, valid_acc 83.360001
2021-02-19 12:46:37,569 (JOBID 25736) epoch 12 lr 2.497568e-02: train_acc 82.306000, valid_acc 85.169998
2021-02-19 12:48:15,722 (JOBID 25736) epoch 13 lr 2.497140e-02: train_acc 82.445999, valid_acc 84.709999
2021-02-19 12:49:52,897 (JOBID 25736) epoch 14 lr 2.496677e-02: train_acc 83.019997, valid_acc 82.650002
2021-02-19 12:51:30,158 (JOBID 25736) epoch 15 lr 2.496181e-02: train_acc 83.613998, valid_acc 85.299995
2021-02-19 12:53:08,176 (JOBID 25736) epoch 16 lr 2.495650e-02: train_acc 84.047997, valid_acc 83.669998
2021-02-19 12:54:45,334 (JOBID 25736) epoch 17 lr 2.495086e-02: train_acc 84.271996, valid_acc 86.349998
2021-02-19 12:56:23,566 (JOBID 25736) epoch 18 lr 2.494487e-02: train_acc 84.673996, valid_acc 84.769997
2021-02-19 12:58:00,954 (JOBID 25736) epoch 19 lr 2.493854e-02: train_acc 84.829994, valid_acc 85.150002
2021-02-19 12:59:38,678 (JOBID 25736) epoch 20 lr 2.493187e-02: train_acc 85.077995, valid_acc 83.589996
2021-02-19 13:02:44,087 (JOBID 25736) epoch 21 lr 2.492485e-02: train_acc 85.431999, valid_acc 86.419998
2021-02-19 13:04:21,719 (JOBID 25736) epoch 22 lr 2.491750e-02: train_acc 85.750000, valid_acc 87.930000
2021-02-19 13:05:59,071 (JOBID 25736) epoch 23 lr 2.490981e-02: train_acc 85.750000, valid_acc 85.939995
2021-02-19 13:07:36,873 (JOBID 25736) epoch 24 lr 2.490178e-02: train_acc 85.823997, valid_acc 88.129997
2021-02-19 13:09:14,198 (JOBID 25736) epoch 25 lr 2.489340e-02: train_acc 86.125999, valid_acc 85.209999
2021-02-19 13:10:51,419 (JOBID 25736) epoch 26 lr 2.488469e-02: train_acc 86.157997, valid_acc 85.309998
2021-02-19 13:12:28,736 (JOBID 25736) epoch 27 lr 2.487564e-02: train_acc 86.307999, valid_acc 87.229996
2021-02-19 13:14:06,368 (JOBID 25736) epoch 28 lr 2.486625e-02: train_acc 86.841995, valid_acc 88.400002
2021-02-19 13:15:43,565 (JOBID 25736) epoch 29 lr 2.485652e-02: train_acc 86.815994, valid_acc 85.099998
2021-02-19 13:17:20,847 (JOBID 25736) epoch 30 lr 2.484645e-02: train_acc 86.701996, valid_acc 86.279999
2021-02-19 13:20:17,534 (JOBID 25736) epoch 31 lr 2.483604e-02: train_acc 86.821999, valid_acc 88.459999
2021-02-19 13:21:55,166 (JOBID 25736) epoch 32 lr 2.482529e-02: train_acc 87.077995, valid_acc 88.849998
2021-02-19 13:23:32,288 (JOBID 25736) epoch 33 lr 2.481421e-02: train_acc 86.975998, valid_acc 88.439995
2021-02-19 13:25:09,285 (JOBID 25736) epoch 34 lr 2.480279e-02: train_acc 87.087997, valid_acc 89.180000
2021-02-19 13:26:46,979 (JOBID 25736) epoch 35 lr 2.479103e-02: train_acc 87.068001, valid_acc 89.079994
2021-02-19 13:28:25,271 (JOBID 25736) epoch 36 lr 2.477893e-02: train_acc 87.437996, valid_acc 87.299995
2021-02-19 13:30:02,559 (JOBID 25736) epoch 37 lr 2.476650e-02: train_acc 87.540001, valid_acc 87.579994
2021-02-19 13:31:39,943 (JOBID 25736) epoch 38 lr 2.475373e-02: train_acc 87.517998, valid_acc 86.919998
2021-02-19 13:33:18,307 (JOBID 25736) epoch 39 lr 2.474063e-02: train_acc 87.612000, valid_acc 88.729996
2021-02-19 13:34:56,083 (JOBID 25736) epoch 40 lr 2.472719e-02: train_acc 87.806000, valid_acc 87.209999
2021-02-19 13:37:54,668 (JOBID 25736) epoch 41 lr 2.471341e-02: train_acc 87.636002, valid_acc 89.720001
2021-02-19 13:39:32,289 (JOBID 25736) epoch 42 lr 2.469930e-02: train_acc 87.692001, valid_acc 88.900002
2021-02-19 13:41:10,781 (JOBID 25736) epoch 43 lr 2.468486e-02: train_acc 87.905998, valid_acc 86.900002
2021-02-19 13:42:48,259 (JOBID 25736) epoch 44 lr 2.467008e-02: train_acc 87.877998, valid_acc 88.759995
2021-02-19 13:44:27,121 (JOBID 25736) epoch 45 lr 2.465497e-02: train_acc 87.848000, valid_acc 88.400002
2021-02-19 13:46:05,082 (JOBID 25736) epoch 46 lr 2.463952e-02: train_acc 87.928001, valid_acc 89.439995
2021-02-19 13:47:42,999 (JOBID 25736) epoch 47 lr 2.462374e-02: train_acc 88.265999, valid_acc 87.099998
2021-02-19 13:49:20,261 (JOBID 25736) epoch 48 lr 2.460763e-02: train_acc 88.079994, valid_acc 89.579994
2021-02-19 13:50:57,521 (JOBID 25736) epoch 49 lr 2.459119e-02: train_acc 88.155998, valid_acc 88.869995
2021-02-19 13:52:34,851 (JOBID 25736) epoch 50 lr 2.457442e-02: train_acc 88.153999, valid_acc 89.129997
2021-02-19 13:55:32,783 (JOBID 25736) epoch 51 lr 2.455731e-02: train_acc 88.542000, valid_acc 89.860001
2021-02-19 13:57:10,620 (JOBID 25736) epoch 52 lr 2.453987e-02: train_acc 88.385994, valid_acc 88.720001
2021-02-19 13:58:47,908 (JOBID 25736) epoch 53 lr 2.452211e-02: train_acc 88.343994, valid_acc 89.500000
2021-02-19 14:00:25,613 (JOBID 25736) epoch 54 lr 2.450401e-02: train_acc 88.528000, valid_acc 89.589996
2021-02-19 14:02:03,619 (JOBID 25736) epoch 55 lr 2.448559e-02: train_acc 88.561996, valid_acc 91.180000
2021-02-19 14:03:41,918 (JOBID 25736) epoch 56 lr 2.446684e-02: train_acc 88.607994, valid_acc 87.889999
2021-02-19 14:05:19,477 (JOBID 25736) epoch 57 lr 2.444776e-02: train_acc 88.526001, valid_acc 83.669998
2021-02-19 14:06:56,642 (JOBID 25736) epoch 58 lr 2.442835e-02: train_acc 88.680000, valid_acc 89.799995
2021-02-19 14:08:35,215 (JOBID 25736) epoch 59 lr 2.440861e-02: train_acc 88.603996, valid_acc 89.570000
2021-02-19 14:10:13,600 (JOBID 25736) epoch 60 lr 2.438855e-02: train_acc 89.065994, valid_acc 87.549995
2021-02-19 14:13:12,644 (JOBID 25736) epoch 61 lr 2.436816e-02: train_acc 88.680000, valid_acc 90.290001
