2021-02-02 16:29:31,385 CARME Slurm ID: 25148
2021-02-02 16:29:31,386 gpu device = 0
2021-02-02 16:29:31,386 args = Namespace(arch='DARTS', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.001, learning_rate_min=0.0001, momentum=0.9, plot_freq=1, report_freq=0, save='darts-pruning/darts-pruning-lr_0.001_edec_0_rho_0.9_rdec_0_mu_0.004_time_20210202-162931', seed=0, use_lr_scheduler=True, weight_decay=0.004)
2021-02-02 16:29:33,400 param size = 3.349394MB
2021-02-02 16:37:54,933 (JOBID 25148) epoch 1 lr 1.000000e-03: train_acc 34.264000, valid_acc 44.809998
2021-02-02 16:46:27,312 (JOBID 25148) epoch 2 lr 9.999877e-04: train_acc 54.475998, valid_acc 59.099998
2021-02-02 16:54:52,076 (JOBID 25148) epoch 3 lr 9.999568e-04: train_acc 63.419998, valid_acc 58.899998
2021-02-02 17:03:27,824 (JOBID 25148) epoch 4 lr 9.999136e-04: train_acc 69.178001, valid_acc 70.159996
2021-02-02 17:12:03,640 (JOBID 25148) epoch 5 lr 9.998581e-04: train_acc 72.491997, valid_acc 76.849998
2021-02-02 17:20:36,503 (JOBID 25148) epoch 6 lr 9.997903e-04: train_acc 74.767998, valid_acc 76.699997
2021-02-02 17:29:14,431 (JOBID 25148) epoch 7 lr 9.997101e-04: train_acc 76.491997, valid_acc 76.299995
2021-02-02 17:37:51,713 (JOBID 25148) epoch 8 lr 9.996176e-04: train_acc 77.526001, valid_acc 77.129997
2021-02-02 17:46:37,396 (JOBID 25148) epoch 9 lr 9.995128e-04: train_acc 78.905998, valid_acc 79.739998
2021-02-02 17:55:04,846 (JOBID 25148) epoch 10 lr 9.993956e-04: train_acc 79.599998, valid_acc 78.419998
2021-02-02 18:03:31,125 (JOBID 25148) epoch 11 lr 9.992662e-04: train_acc 80.675995, valid_acc 82.239998
2021-02-02 18:12:02,407 (JOBID 25148) epoch 12 lr 9.991244e-04: train_acc 81.348000, valid_acc 83.169998
2021-02-02 18:20:22,320 (JOBID 25148) epoch 13 lr 9.989703e-04: train_acc 82.065994, valid_acc 82.250000
2021-02-02 18:28:42,818 (JOBID 25148) epoch 14 lr 9.988038e-04: train_acc 82.386002, valid_acc 79.459999
2021-02-02 18:37:11,110 (JOBID 25148) epoch 15 lr 9.986251e-04: train_acc 83.084000, valid_acc 78.739998
2021-02-02 18:45:42,757 (JOBID 25148) epoch 16 lr 9.984341e-04: train_acc 83.557999, valid_acc 81.939995
2021-02-02 18:54:11,052 (JOBID 25148) epoch 17 lr 9.982308e-04: train_acc 83.503998, valid_acc 83.029999
2021-02-02 19:02:50,731 (JOBID 25148) epoch 18 lr 9.980152e-04: train_acc 84.304001, valid_acc 86.029999
2021-02-02 19:11:18,309 (JOBID 25148) epoch 19 lr 9.977873e-04: train_acc 84.136002, valid_acc 85.129997
2021-02-02 19:19:48,804 (JOBID 25148) epoch 20 lr 9.975472e-04: train_acc 84.820000, valid_acc 87.000000
2021-02-02 19:28:23,183 (JOBID 25148) epoch 21 lr 9.972948e-04: train_acc 85.125999, valid_acc 84.070000
2021-02-02 19:36:49,852 (JOBID 25148) epoch 22 lr 9.970301e-04: train_acc 85.035995, valid_acc 83.959999
2021-02-02 19:45:16,255 (JOBID 25148) epoch 23 lr 9.967531e-04: train_acc 85.388000, valid_acc 84.659996
2021-02-02 19:53:42,163 (JOBID 25148) epoch 24 lr 9.964639e-04: train_acc 85.657997, valid_acc 88.689995
2021-02-02 20:02:09,440 (JOBID 25148) epoch 25 lr 9.961625e-04: train_acc 85.914001, valid_acc 85.239998
2021-02-02 20:10:38,010 (JOBID 25148) epoch 26 lr 9.958489e-04: train_acc 86.113998, valid_acc 84.220001
2021-02-02 20:19:08,772 (JOBID 25148) epoch 27 lr 9.955230e-04: train_acc 86.161995, valid_acc 85.839996
2021-02-02 20:27:46,003 (JOBID 25148) epoch 28 lr 9.951849e-04: train_acc 86.521996, valid_acc 87.029999
2021-02-02 20:36:10,899 (JOBID 25148) epoch 29 lr 9.948346e-04: train_acc 86.757996, valid_acc 87.949997
2021-02-02 20:44:44,432 (JOBID 25148) epoch 30 lr 9.944721e-04: train_acc 86.533997, valid_acc 88.029999
2021-02-02 20:53:06,291 (JOBID 25148) epoch 31 lr 9.940974e-04: train_acc 86.701996, valid_acc 88.979996
2021-02-02 21:01:35,572 (JOBID 25148) epoch 32 lr 9.937105e-04: train_acc 86.973999, valid_acc 88.419998
2021-02-02 21:10:00,379 (JOBID 25148) epoch 33 lr 9.933115e-04: train_acc 87.248001, valid_acc 82.629997
2021-02-02 21:18:29,018 (JOBID 25148) epoch 34 lr 9.929004e-04: train_acc 87.194000, valid_acc 87.049995
2021-02-02 21:27:06,264 (JOBID 25148) epoch 35 lr 9.924770e-04: train_acc 87.624001, valid_acc 87.430000
2021-02-02 21:35:34,254 (JOBID 25148) epoch 36 lr 9.920416e-04: train_acc 87.348000, valid_acc 87.099998
2021-02-02 21:44:01,657 (JOBID 25148) epoch 37 lr 9.915940e-04: train_acc 87.568001, valid_acc 89.000000
2021-02-02 21:52:53,202 (JOBID 25148) epoch 38 lr 9.911344e-04: train_acc 87.542000, valid_acc 89.610001
2021-02-02 22:01:22,122 (JOBID 25148) epoch 39 lr 9.906626e-04: train_acc 88.035995, valid_acc 89.839996
2021-02-02 22:10:08,740 (JOBID 25148) epoch 40 lr 9.901788e-04: train_acc 87.745995, valid_acc 90.509995
2021-02-02 22:18:36,999 (JOBID 25148) epoch 41 lr 9.896828e-04: train_acc 87.916000, valid_acc 89.839996
2021-02-02 22:27:07,735 (JOBID 25148) epoch 42 lr 9.891749e-04: train_acc 88.096001, valid_acc 88.939995
2021-02-02 22:35:38,725 (JOBID 25148) epoch 43 lr 9.886549e-04: train_acc 88.136002, valid_acc 89.809998
2021-02-02 22:43:59,644 (JOBID 25148) epoch 44 lr 9.881228e-04: train_acc 88.028000, valid_acc 87.779999
2021-02-02 22:52:23,577 (JOBID 25148) epoch 45 lr 9.875788e-04: train_acc 88.117996, valid_acc 86.400002
2021-02-02 23:00:49,932 (JOBID 25148) epoch 46 lr 9.870228e-04: train_acc 88.325996, valid_acc 89.470001
2021-02-02 23:09:15,235 (JOBID 25148) epoch 47 lr 9.864547e-04: train_acc 88.283997, valid_acc 89.049995
2021-02-02 23:17:42,284 (JOBID 25148) epoch 48 lr 9.858748e-04: train_acc 88.463997, valid_acc 87.720001
2021-02-02 23:26:26,179 (JOBID 25148) epoch 49 lr 9.852828e-04: train_acc 88.523994, valid_acc 89.639999
2021-02-02 23:35:00,293 (JOBID 25148) epoch 50 lr 9.846790e-04: train_acc 88.459999, valid_acc 89.959999
2021-02-02 23:43:45,842 (JOBID 25148) epoch 51 lr 9.840632e-04: train_acc 88.750000, valid_acc 87.500000
2021-02-02 23:52:21,427 (JOBID 25148) epoch 52 lr 9.834355e-04: train_acc 88.779999, valid_acc 89.180000
2021-02-03 00:00:56,280 (JOBID 25148) epoch 53 lr 9.827959e-04: train_acc 88.666000, valid_acc 90.669998
2021-02-03 00:09:31,095 (JOBID 25148) epoch 54 lr 9.821445e-04: train_acc 88.652000, valid_acc 90.409996
2021-02-03 00:18:02,298 (JOBID 25148) epoch 55 lr 9.814812e-04: train_acc 89.014000, valid_acc 89.729996
2021-02-03 00:26:29,802 (JOBID 25148) epoch 56 lr 9.808061e-04: train_acc 88.902000, valid_acc 90.000000
2021-02-03 00:34:56,893 (JOBID 25148) epoch 57 lr 9.801192e-04: train_acc 88.883995, valid_acc 90.430000
2021-02-03 00:43:21,428 (JOBID 25148) epoch 58 lr 9.794205e-04: train_acc 88.885994, valid_acc 87.049995
2021-02-03 00:51:53,641 (JOBID 25148) epoch 59 lr 9.787100e-04: train_acc 89.339996, valid_acc 84.360001
2021-02-03 01:00:23,309 (JOBID 25148) epoch 60 lr 9.779878e-04: train_acc 89.152000, valid_acc 86.669998
2021-02-03 01:08:54,714 (JOBID 25148) epoch 61 lr 9.772538e-04: train_acc 89.082001, valid_acc 91.820000
2021-02-03 01:17:37,255 (JOBID 25148) epoch 62 lr 9.765081e-04: train_acc 89.435997, valid_acc 89.119995
2021-02-03 01:26:10,396 (JOBID 25148) epoch 63 lr 9.757507e-04: train_acc 89.362000, valid_acc 90.409996
2021-02-03 01:34:50,177 (JOBID 25148) epoch 64 lr 9.749817e-04: train_acc 89.473999, valid_acc 91.149994
2021-02-03 01:43:32,081 (JOBID 25148) epoch 65 lr 9.742010e-04: train_acc 89.389999, valid_acc 89.189995
2021-02-03 01:52:00,061 (JOBID 25148) epoch 66 lr 9.734087e-04: train_acc 89.385994, valid_acc 90.099998
2021-02-03 02:00:32,888 (JOBID 25148) epoch 67 lr 9.726047e-04: train_acc 89.667999, valid_acc 92.009995
2021-02-03 02:09:01,917 (JOBID 25148) epoch 68 lr 9.717892e-04: train_acc 89.495995, valid_acc 91.049995
2021-02-03 02:17:24,775 (JOBID 25148) epoch 69 lr 9.709621e-04: train_acc 89.692001, valid_acc 91.000000
2021-02-03 02:25:41,504 (JOBID 25148) epoch 70 lr 9.701235e-04: train_acc 89.655998, valid_acc 91.159996
2021-02-03 02:34:08,443 (JOBID 25148) epoch 71 lr 9.692734e-04: train_acc 89.603996, valid_acc 91.360001
2021-02-03 02:42:37,755 (JOBID 25148) epoch 72 lr 9.684117e-04: train_acc 89.757996, valid_acc 91.470001
2021-02-03 02:51:03,049 (JOBID 25148) epoch 73 lr 9.675386e-04: train_acc 89.673996, valid_acc 89.949997
2021-02-03 02:59:30,839 (JOBID 25148) epoch 74 lr 9.666541e-04: train_acc 89.811996, valid_acc 87.559998
2021-02-03 03:07:54,397 (JOBID 25148) epoch 75 lr 9.657581e-04: train_acc 89.703995, valid_acc 90.680000
2021-02-03 03:16:18,859 (JOBID 25148) epoch 76 lr 9.648507e-04: train_acc 89.751999, valid_acc 90.739998
2021-02-03 03:24:51,722 (JOBID 25148) epoch 77 lr 9.639320e-04: train_acc 89.863998, valid_acc 88.430000
2021-02-03 03:33:14,122 (JOBID 25148) epoch 78 lr 9.630019e-04: train_acc 89.853996, valid_acc 91.649994
2021-02-03 03:41:33,233 (JOBID 25148) epoch 79 lr 9.620605e-04: train_acc 89.695999, valid_acc 91.849998
2021-02-03 03:49:54,555 (JOBID 25148) epoch 80 lr 9.611078e-04: train_acc 89.832001, valid_acc 91.079994
2021-02-03 03:58:25,628 (JOBID 25148) epoch 81 lr 9.601438e-04: train_acc 89.692001, valid_acc 90.959999
2021-02-03 04:06:57,754 (JOBID 25148) epoch 82 lr 9.591686e-04: train_acc 90.009995, valid_acc 90.259995
2021-02-03 04:15:28,029 (JOBID 25148) epoch 83 lr 9.581821e-04: train_acc 89.953995, valid_acc 91.449997
2021-02-03 04:24:09,293 (JOBID 25148) epoch 84 lr 9.571845e-04: train_acc 89.953995, valid_acc 90.209999
2021-02-03 04:32:45,381 (JOBID 25148) epoch 85 lr 9.561757e-04: train_acc 89.793999, valid_acc 91.869995
2021-02-03 04:41:12,832 (JOBID 25148) epoch 86 lr 9.551558e-04: train_acc 90.323997, valid_acc 92.169998
2021-02-03 04:49:49,065 (JOBID 25148) epoch 87 lr 9.541247e-04: train_acc 90.279999, valid_acc 91.329994
2021-02-03 04:58:12,579 (JOBID 25148) epoch 88 lr 9.530826e-04: train_acc 90.138000, valid_acc 89.150002
2021-02-03 05:06:38,767 (JOBID 25148) epoch 89 lr 9.520294e-04: train_acc 90.021996, valid_acc 91.079994
2021-02-03 05:15:05,678 (JOBID 25148) epoch 90 lr 9.509653e-04: train_acc 90.334000, valid_acc 90.989998
2021-02-03 05:23:28,558 (JOBID 25148) epoch 91 lr 9.498901e-04: train_acc 90.079994, valid_acc 91.839996
2021-02-03 05:31:50,992 (JOBID 25148) epoch 92 lr 9.488039e-04: train_acc 90.287994, valid_acc 90.509995
2021-02-03 05:40:14,378 (JOBID 25148) epoch 93 lr 9.477069e-04: train_acc 90.181999, valid_acc 90.619995
2021-02-03 05:48:38,232 (JOBID 25148) epoch 94 lr 9.465989e-04: train_acc 90.127998, valid_acc 90.919998
2021-02-03 05:57:14,629 (JOBID 25148) epoch 95 lr 9.454800e-04: train_acc 90.304001, valid_acc 91.579994
2021-02-03 06:05:45,212 (JOBID 25148) epoch 96 lr 9.443503e-04: train_acc 90.475998, valid_acc 92.040001
